id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
8521,SunsplashedSerenity near Harvard $1300/wk flexible,306681,Janet,,West Cambridge,42.38329,-71.13617,Entire home/apt,200,3,33,2019-06-09,0.27,3,100
11169,Lovely Studio Room: Thu-Mons Near Universities!,40965,Mazzy,,North Cambridge,42.39469,-71.13223,Private room,105,2,143,2019-07-21,1.25,4,333
11945,Near Harvard: Safe & Lovely Room,40965,Mazzy,,North Cambridge,42.39454,-71.13431,Private room,75,3,33,2019-04-14,0.28,4,333
19581,"Furnished suite, Windsor",74249,Marc And Patty,,The Port,42.36276,-71.09765,Private room,185,3,6,2018-08-04,0.05,3,325
22006,B & B near Harvard's Quad Houses,84280,Blue,,Neighborhood Nine,42.3867,-71.12387,Private room,120,2,71,2019-08-01,0.80,1,329
24063,Riverbend Bed and Breakfast,96414,Polly,,West Cambridge,42.37606,-71.14041,Private room,110,2,171,2019-07-27,1.52,1,349
27498,Furnished suite 2 @ the Windsor,74249,Marc And Patty,,The Port,42.36381,-71.09754,Private room,225,3,10,2019-08-18,0.09,3,350
79762,Cambridge Getaway @ Harvard & MIT,430015,Kevin,,Mid-Cambridge,42.37057,-71.10029,Entire home/apt,200,3,332,2019-08-26,3.28,2,295
106474,large furnished suite in Central sq,74249,Marc And Patty,,The Port,42.3627,-71.09645,Private room,235,4,15,2019-08-24,0.15,3,365
108898,"""The Treehouse"":  Elegant living near Harvard",306681,Janet,,West Cambridge,42.38377,-71.13543,Entire home/apt,150,2,18,2019-07-22,0.18,3,177
124998,Mid-Cambridge Carriage House,622255,Charles,,Mid-Cambridge,42.37275,-71.1067,Private room,100,3,319,2018-11-05,3.18,1,0
219471,"Best @ MIT, Kendall, Back Bay, Harvard, BU",444945,Lisa,,Cambridgeport,42.36109,-71.10425,Entire home/apt,144,3,58,2019-08-19,0.62,1,339
231115,HARVARD MIT STANDALONE CARRIAGE HOUSE LOFT!,81038,Louisa,,Riverside,42.3668,-71.10673,Entire home/apt,225,2,163,2019-08-02,1.71,9,59
257645,Lovely Guest Room (Women Only),207434,Billie Jo,,Neighborhood Nine,42.38375,-71.12955,Private room,80,2,55,2019-07-26,0.76,1,323
280304,#17-2 Large 1BR Apt. in Harvard Sq!,1461240,Monica,,Riverside,42.37083,-71.11402,Entire home/apt,194,2,48,2019-08-23,0.77,5,303
314465,"Great House, Great Location",1615938,Tara,,Cambridgeport,42.35965,-71.10556,Entire home/apt,500,2,60,2019-06-23,0.70,1,4
321847,"New condo in Central Sq - 2BR, 2BA",1647071,Meghan,,The Port,42.36498,-71.09869,Entire home/apt,300,2,55,2019-08-20,0.63,1,10
326170,Two-room suite near Harvard Univ.,1665697,Nadine And Bernd,,Agassiz,42.38247,-71.11403,Private room,110,2,192,2018-10-21,2.09,1,0
365220,Davis Square Studio!,1694399,Isa,,Neighborhood Nine,42.38817,-71.12898,Entire home/apt,142,3,139,2019-08-26,2.20,1,5
405144,Apartment in Harvard's Backyard,2018955,Nicole,,Mid-Cambridge,42.37125,-71.11105,Entire home/apt,180,31,53,2018-09-28,0.59,1,254
405548,Holidays in Cambridge $150/night (flexible),306681,Janet,,West Cambridge,42.38258,-71.1371,Entire home/apt,150,2,2,2017-12-26,0.03,3,0
445407,East Cambridge Apartment ,2212429,Jimmy,,Wellington-Harrington,42.37363,-71.08909,Entire home/apt,350,2,49,2019-08-18,0.56,2,42
459074,Studio steps from MIT and Harvard!,2282282,Claudia,,Cambridgeport,42.36291,-71.10435,Entire home/apt,100,2,361,2019-08-18,4.10,1,12
461525,Perfect Harvard Sq. apt - 7 min walk to HBS/HKS,2126399,Crystal,,Mid-Cambridge,42.37273,-71.11168,Private room,100,1,0,,,1,0
464471,"HarvardMIT,InmanSq,clean,sunny apt.",2308198,Sarah And Chris,,Wellington-Harrington,42.37317,-71.09743,Entire home/apt,175,2,269,2019-08-21,3.04,1,186
566528,"HARVARD/TUFTS: SHEA RD, 1-5 GUESTS +PARKING PERMIT",1839729,Harvard,,North Cambridge,42.39695,-71.12743,Entire home/apt,99,30,128,2019-07-28,1.50,1,215
577384,Large Room with Shared Bath,229956,Adam,,The Port,42.36598,-71.09909,Private room,55,1,128,2019-01-01,1.47,4,0
715532,"Quiet, Artistically Decorated Cambridge Apartment",3673828,Kate & Andy,,North Cambridge,42.3942,-71.13202,Entire home/apt,200,2,237,2019-08-24,2.82,2,132
719714,Perfect Studio Camb/Harvard Sq #2,727944,Emily,,North Cambridge,42.39413,-71.12526,Entire home/apt,125,4,155,2019-08-21,1.85,3,9
742574,See Yourself in Central Square,1152305,Greg,,Cambridgeport,42.36486,-71.10328,Entire home/apt,150,31,124,2019-05-12,1.53,4,109
798213,Cambridge-Alewife-Davis-Tufts-Porter Sq-Harvard Sq,4169689,Javier,,North Cambridge,42.40135,-71.13569,Private room,65,1,379,2019-07-21,4.99,2,179
