id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
3781,HARBORSIDE-Walk to subway,4804,Frank,,East Boston,42.36524,-71.02936,Entire home/apt,125,30,15,2019-02-22,0.34,1,147
5506,**$79 Special **   Private! Minutes to center!,8229,Terry,,Roxbury,42.32981,-71.09559,Entire home/apt,145,3,81,2019-02-18,0.67,6,257
6695,$99 Special!! Home Away! Condo,8229,Terry,,Roxbury,42.32994,-71.09351,Entire home/apt,169,3,85,2018-11-25,0.73,6,199
6976,Mexican Folk Art Haven in Boston Residential Area,16701,Phil,,Roslindale,42.29244,-71.13577,Private room,65,3,75,2018-10-23,0.64,1,90
8789,Curved Glass Studio/1bd facing Park,26988,Anne,,Downtown,42.35919,-71.06265,Entire home/apt,99,28,22,2018-12-20,0.39,10,285
8792,Large 1 Bed facing State House,26988,Anne,,Downtown,42.3585,-71.06201,Entire home/apt,154,28,24,2018-08-15,0.21,10,117
9765,[1294] Grand Studio - South End,25188,Seamless,,South End,42.34259,-71.07942,Entire home/apt,229,2,9,2015-10-24,0.10,35,364
9824,[1273] Fab Studio- close to Newbury,25188,Seamless,,Back Bay,42.3495,-71.08595,Entire home/apt,209,2,23,2018-10-25,0.24,35,354
9857,"[1280] Well-Appointed,  2 BR Suite in Back Bay",25188,Seamless,,Back Bay,42.35429,-71.07277,Entire home/apt,342,2,25,2018-10-19,0.27,35,304
9858,[1356-2] 2BR Exec Penthouse Suite,25188,Seamless,,Back Bay,42.34447,-71.08179,Entire home/apt,489,2,1,2015-06-09,0.02,35,344
9859,[1274] 1BR Half Block from Newbury,25188,Seamless,,Back Bay,42.35026,-71.08472,Entire home/apt,179,2,3,2018-12-09,0.03,35,66
9860,[1277] 1BR on Beacon St - Back Bay,25188,Seamless,,Back Bay,42.35412,-71.07441,Entire home/apt,259,2,22,2016-04-10,0.20,35,105
9870,[1293-1] - 1 Bedroom in South End,25188,Seamless,,South End,42.34423,-71.07788,Entire home/apt,279,2,8,2018-10-14,0.10,35,347
10730,Bright 1bed facing Golden Dome,26988,Anne,,Downtown,42.3584,-71.06185,Entire home/apt,150,30,27,2017-10-25,0.23,10,257
10811,Back Bay Studio on Marlborough St-,38997,Michelle,,Back Bay,42.34973,-71.08792,Entire home/apt,179,1,7,2018-09-30,0.18,9,321
10813,Back Bay Apt Studio-,38997,Michelle,,Back Bay,42.34961,-71.08904,Entire home/apt,179,3,1,2016-05-23,0.03,9,215
10986,Waterfront Furnished Apt,38997,Michelle,,North End,42.36352,-71.05075,Entire home/apt,125,30,2,2016-05-23,0.06,9,364
13592,"[1279] 2 BR/1.5 BA, Bi-Level Suite",25188,Seamless,,Back Bay,42.35376,-71.07424,Entire home/apt,359,2,20,2017-09-28,0.20,35,0
18711,The Dorset | 3BR 1BA | 1st Floor,71783,Lance,,Dorchester,42.32329,-71.0621,Entire home/apt,126,3,43,2018-11-05,0.40,23,241
21891,[1168-2NH]Lux 2BR - Downtown Boston,25188,Seamless,,Downtown,42.35218,-71.06316,Entire home/apt,289,30,21,2015-06-18,0.22,35,83
22208,[1358] Small Studio in South End,25188,Seamless,,South End,42.34321,-71.07776,Entire home/apt,225,3,4,2015-07-29,0.04,35,265
22212,[1275]2BR-Off Newbury St.- Back Bay,25188,Seamless,,Back Bay,42.34995,-71.0866,Entire home/apt,285,2,25,2017-02-08,0.26,35,348
22354,COPLEY SQ...19TH C.TWNHSE SUNNY RM,85770,Robert,,South End,42.34496,-71.07486,Private room,148,2,293,2018-11-16,3.16,5,68
23370,[1250-1NE]Elegant 1BR in Back Bay,25188,Seamless,,Back Bay,42.34609,-71.07858,Entire home/apt,289,4,5,2013-04-25,0.05,35,361
23668,[1247-1N]Furnished 1BR At The Vesta,25188,Seamless,,West End,42.36387,-71.06895,Entire home/apt,249,4,0,,,35,360
24240,"The Golden Slipper B&B Afloat, 2 bed/2 bath",97821,Gretchen,,North End,42.36366,-71.05023,Entire home/apt,275,2,82,2018-10-25,0.80,1,259
25142,[1246]Beautiful 2BRs - Fenway Area,25188,Seamless,,Fenway,42.34487,-71.1026,Entire home/apt,399,3,9,2015-10-28,0.09,35,81
25418,[1535-1C] Luxury 1BR - West End High Rise,25188,Seamless,,West End,42.36494,-71.06767,Entire home/apt,279,4,4,2015-11-20,0.04,35,89
27141,[1293] Lovely 1 BR in South End,25188,Seamless,,South End,42.34259,-71.07969,Entire home/apt,279,2,4,2013-06-02,0.04,35,364
27546,L'Auberge Espagnole  /room H,119019,Hermina,,Dorchester,42.29835,-71.0591,Private room,55,1,234,2018-09-01,2.18,10,93
27611,One Bedroom Studio Garden Apartment,119381,Gordon And Alexandra,,Jamaica Plain,42.31557,-71.11483,Entire home/apt,185,3,15,2018-09-04,0.26,1,351
28150,[1277/1] 1BR on Beacon St- Back Bay,25188,Seamless,,Back Bay,42.35397,-71.07261,Entire home/apt,184,2,21,2016-06-24,0.23,35,121
